ISSN,Archive accepted manuscript,Archive published version,Sherpa/Romeo colour,Sherpa/Romeo Licence,Journal,Updated
1101-1262,6 months embargo,cannot,yellow,,European Journal of Public Health,24/04/2017,
1464-360X,6 months embargo,cannot,yellow,,European Journal of Public Health,24/04/2017,
0148-5717,12 months embargo,cannot,yellow,,Sexually Transmitted Diseases,6/12/2018,
1529-6466,12 months embargo,cannot,white,,Reviews in Mineralogy and Geochemistry,13/05/2016,
1943-2666,12 months embargo,cannot,white,,Reviews in Mineralogy and Geochemistry,13/05/2016,
1936-900X,unknown,unknown,gray,,Western Journal of Emergency Medicine,16/05/2019,
1936-9018,unknown,unknown,gray,,Western Journal of Emergency Medicine,16/05/2019,
1865-7117,,,,,Zeitschrift für Naturforschung B,,
0932-0776,No information,No information,No information,,Zeitschrift für Naturforschung B,,
1195-1982,12 months embargo,cannot,green,,Journal of Travel Medicine,30/05/2017,
1708-8305,12 months embargo,cannot,green,,Journal of Travel Medicine,30/05/2017,
0962-9351,can,can,green,CC-BY,Mediators of Inflammation,8/01/2018,
1466-1861,can,can,green,CC-BY,Mediators of Inflammation,8/01/2018,
1053-8127,can,cannot,green,,Journal of Back and Musculoskeletal Rehabilitation,18/04/2016,
1878-6324,can,cannot,green,,Journal of Back and Musculoskeletal Rehabilitation,18/04/2016,
1941-8264,can,can,blue,CC-BY,Lithosphere,12/03/2018,
1947-4253,can,can,blue,CC-BY,Lithosphere,12/03/2018,
0937-4477,12 months embargo,cannot,green,,European Archives of Oto-Rhino-Laryngology,18/10/2018,
1434-4726,12 months embargo,cannot,green,,European Archives of Oto-Rhino-Laryngology,18/10/2018,
1555-9041,12 months embargo,cannot,blue,,Clinical Journal of the American Society of Nephrology,28/01/2015,
1555-905X,12 months embargo,cannot,blue,,Clinical Journal of the American Society of Nephrology,28/01/2015,
0033-3182,12 months embargo,cannot,green,CC-BY-NC-ND,Psychosomatics,1/05/2015,
1340-3478,No information,No information,No information,,Journal of Atherosclerosis and Thrombosis,,
1880-3873,No information,No information,No information,,Journal of Atherosclerosis and Thrombosis,,
0017-257X,can,cannot,green,CC-BY-NC-ND,Government and Opposition,9/10/2014,
1477-7053,can,cannot,green,CC-BY-NC-ND,Government and Opposition,9/10/2014,
1381-1231,12 months embargo,cannot,green,,Journal of Heuristics,16/05/2014,
1572-9397,12 months embargo,cannot,green,,Journal of Heuristics,16/05/2014,
0740-3194,12 months embargo,cannot,yellow,,Magnetic Resonance in Medicine,24/11/2017,
1522-2594,12 months embargo,cannot,yellow,,Magnetic Resonance in Medicine,24/11/2017,
0959-3780,12 months embargo,cannot,green,CC-BY-NC-ND,Global Environmental Change,1/05/2015,
2410-7220,,,,,African Journal of Wildlife Research,,
2410-8200,,,,,African Journal of Wildlife Research,,
0963-8687,24 months embargo,cannot,green,CC-BY-NC-ND,The Journal of Strategic Information Systems,9/01/2017,
1353-2944,can,cannot,green,CC-BY-NC-ND,Modern Italy,7/10/2014,
1469-9877,can,cannot,green,CC-BY-NC-ND,Modern Italy,7/10/2014,
1356-336X,can,cannot,green,,European Physical Education Review,21/08/2019,
1741-2749,can,cannot,green,,European Physical Education Review,21/08/2019,
0885-2545,12 months embargo,cannot,green,,Journal of Cultural Economics,18/10/2018,
1573-6997,12 months embargo,cannot,green,,Journal of Cultural Economics,18/10/2018,
1362-1688,can,cannot,green,,Language Teaching Research,21/08/2019,
1477-0954,can,cannot,green,,Language Teaching Research,21/08/2019,
0147-1767,24 months embargo,cannot,green,CC-BY-NC-ND,International Journal of Intercultural Relations,9/01/2017,
0001-6810,12 months embargo,cannot,yellow,,Acta Politica,3/09/2018,
1741-1416,12 months embargo,cannot,yellow,,Acta Politica,3/09/2018,
0218-2718,12 months embargo,cannot,yellow,,International Journal of Modern Physics D,29/10/2014,
1793-6594,12 months embargo,cannot,yellow,,International Journal of Modern Physics D,29/10/2014,
0009-840X,can,cannot,green,CC-BY-NC-ND,The Classical Review,9/10/2014,
1464-3561,can,cannot,green,CC-BY-NC-ND,The Classical Review,9/10/2014,
0002-9947,can,cannot,green,CC-BY-NC-ND ,Transactions of the American Mathematical Society,9/04/2019,
1088-6850,can,cannot,green,CC-BY-NC-ND ,Transactions of the American Mathematical Society,9/04/2019,
0219-0613,12 months embargo,cannot,yellow,,Journal of Mathematical Logic,29/10/2014,
1793-6691,12 months embargo,cannot,yellow,,Journal of Mathematical Logic,29/10/2014,
0037-976X,12 months embargo,cannot,yellow,,Monographs of the Society for Research in Child Development,24/11/2017,
1540-5834,12 months embargo,cannot,yellow,,Monographs of the Society for Research in Child Development,24/11/2017,
0002-0729,12 months embargo,cannot,green,,Age and Ageing,30/05/2017,
1468-2834,12 months embargo,cannot,green,,Age and Ageing,30/05/2017,
0033-6882,can,cannot,green,,RELC Journal,21/08/2019,
1745-526X,can,cannot,green,,RELC Journal,21/08/2019,
1715-2593,unknown,unknown,gray,,Island Studies Journal,16/05/2019,
0094-3061,12 months embargo,cannot,yellow,,Contemporary Sociology: A Journal of Reviews,6/07/2016,
1939-8638,12 months embargo,cannot,yellow,,Contemporary Sociology: A Journal of Reviews,6/07/2016,
0095-3997,can,cannot,green,,Administration & Society,21/08/2019,
1552-3039,can,cannot,green,,Administration & Society,21/08/2019,
1533-3175,can,cannot,green,,American Journal of Alzheimer's Disease & Other Dementiasr,21/08/2019,
1938-2731,can,cannot,green,,American Journal of Alzheimer's Disease & Other Dementiasr,21/08/2019,
1939-2222,can,cannot,green,,Journal of Experimental Psychology: General,2/10/2017,
0096-3445,can,cannot,green,,Journal of Experimental Psychology: General,2/10/2017,
1542-3050,No information,No information,No information,,Journal of Pastoral Care & Counseling: Advancing theory and professional practice through scholarly and reflective publications,,
2167-776X,No information,No information,No information,,Journal of Pastoral Care & Counseling: Advancing theory and professional practice through scholarly and reflective publications,,
0967-1994,6 months embargo,cannot,green,CC-BY-NC-ND,Zygote,7/10/2014,
1469-8730,6 months embargo,cannot,green,CC-BY-NC-ND,Zygote,7/10/2014,
0004-8402,18 months embargo,cannot,green,,Australasian Journal of Philosophy,26/03/2014,
1471-6828,18 months embargo,cannot,green,,Australasian Journal of Philosophy,26/03/2014,
0172-8172,12 months embargo,cannot,green,,Rheumatology International,16/05/2014,
1437-160X,12 months embargo,cannot,green,,Rheumatology International,16/05/2014,
2373-776X,,,,,IEEE Transactions on Signal and Information Processing over Networks,,
2373-7778,,,,,IEEE Transactions on Signal and Information Processing over Networks,,
0378-7753,12 months embargo,cannot,green,CC-BY-NC-ND,Journal of Power Sources,1/05/2015,
0007-0955,2 years embargo,cannot,green,CC,The British Journal of Criminology,13/01/2017,
1464-3529,2 years embargo,cannot,green,CC,The British Journal of Criminology,13/01/2017,
1040-6190,12 months embargo,cannot,green,CC-BY-NC-ND,The Electricity Journal,1/05/2015,
0829-8211,can,cannot,green,,Biochemistry and Cell Biology,6/01/2011,
1208-6002,can,cannot,green,,Biochemistry and Cell Biology,6/01/2011,
0031-9201,12 months embargo,cannot,green,CC-BY-NC-ND,Physics of the Earth and Planetary Interiors,1/05/2015,
2211-3576,,,,,Computability,,
2211-3568,can,cannot,green,,Computability,18/04/2016,
2194-802X,No information,No information,No information,,Diagnosis,,
2194-8011,No information,No information,No information,,Diagnosis,,
0967-3407,can,cannot,green,,Environment and History,11/11/2014,
1752-7023,can,cannot,green,,Environment and History,11/11/2014,
0022-4073,12 months embargo,cannot,green,CC-BY-NC-ND,Journal of Quantitative Spectroscopy and Radiative Transfer,1/05/2015,
2363-7005,,,,,Business & Information Systems Engineering,,
1867-0202,12 months embargo,cannot,green,,Business & Information Systems Engineering,18/10/2018,
0733-8716,can,cannot,green,,IEEE Journal on Selected Areas in Communications,7/06/2019,
1558-0008,can,cannot,green,,IEEE Journal on Selected Areas in Communications,7/06/2019,
1434-4610,12 months embargo,cannot,green,CC-BY-NC-ND,Protist,1/05/2015,
0951-0893,2 years embargo,cannot,green,CC,ELT Journal,13/01/2017,
1477-4526,2 years embargo,cannot,green,CC,ELT Journal,13/01/2017,
1533-6263,can,cannot,green,,Sign Language Studies,4/06/2015,
1350-231X,12 months embargo,cannot,green,,Journal of Brand Management,3/09/2018,
1479-1803,12 months embargo,cannot,green,,Journal of Brand Management,3/09/2018,
1529-8868,12 months embargo,cannot,green,,Self and Identity,26/03/2014,
1529-8876,12 months embargo,cannot,green,,Self and Identity,26/03/2014,
0926-7220,12 months embargo,cannot,green,,Science & Education,16/05/2014,
1573-1901,12 months embargo,cannot,green,,Science & Education,16/05/2014,
0883-0355,12 months embargo,cannot,green,CC-BY-NC-ND,International Journal of Educational Research,1/05/2015,
0953-2048,12 months embargo,cannot,green,CC-BY-NC-ND,Superconductor Science and Technology,22/11/2017,
1361-6668,12 months embargo,cannot,green,CC-BY-NC-ND,Superconductor Science and Technology,22/11/2017,
1476-6930,12 months embargo,cannot,green,,Journal of Revenue and Pricing Management,3/09/2018,
1477-657X,12 months embargo,cannot,green,,Journal of Revenue and Pricing Management,3/09/2018,
0004-9018,2 years embargo,cannot,yellow,,Australian Economic Review,24/11/2017,
1467-8462,2 years embargo,cannot,yellow,,Australian Economic Review,24/11/2017,
0167-7055,12 months embargo,cannot,yellow,,Computer Graphics Forum,24/11/2017,
1467-8659,12 months embargo,cannot,yellow,,Computer Graphics Forum,24/11/2017,
1944-687X,No information,No information,No information,,Journal of Fish and Wildlife Management,,
0033-3352,2 years embargo,cannot,yellow,,Public Administration Review,24/11/2017,
1540-6210,2 years embargo,cannot,yellow,,Public Administration Review,24/11/2017,
0022-0027,can,cannot,green,,Journal of Conflict Resolution,21/08/2019,
1552-8766,can,cannot,green,,Journal of Conflict Resolution,21/08/2019,
2057-3170,can,cannot,green,,Journal of Global Security Studies,2/02/2018,
2057-3189,can,cannot,green,,Journal of Global Security Studies,2/02/2018,
1521-9488,can,cannot,green,,International Studies Review,2/02/2018,
1468-2486,can,cannot,green,,International Studies Review,2/02/2018,
0961-1215,6 months embargo,6 months embargo,green,,Leonardo Music Journal,12/02/2018,
1531-4812,6 months embargo,6 months embargo,green,,Leonardo Music Journal,12/02/2018,
1092-0277,18 months embargo,cannot,green,,North American Actuarial Journal,26/03/2014,
2325-0453,18 months embargo,cannot,green,,North American Actuarial Journal,26/03/2014,
0022-2917,No information,No information,No information,,Journal of Music Therapy,,
2053-7395,No information,No information,No information,,Journal of Music Therapy,,
1744-6295,can,cannot,green,,Journal of Intellectual Disabilities,21/08/2019,
1744-6309,can,cannot,green,,Journal of Intellectual Disabilities,21/08/2019,
0161-6846,can,cannot,green,,Public Library Quarterly,19/01/2018,
1541-1540,can,cannot,green,,Public Library Quarterly,19/01/2018,
0034-3404,18 months embargo,cannot,green,,Regional Studies,26/03/2014,
1360-0591,18 months embargo,cannot,green,,Regional Studies,26/03/2014,
1735-5702,can,can,green,CC-BY,Journal of Industrial Engineering International,9/10/2018,
2251-712X,can,can,green,CC-BY,Journal of Industrial Engineering International,9/10/2018,
0269-7653,12 months embargo,cannot,green,,Evolutionary Ecology,18/10/2018,
1573-8477,12 months embargo,cannot,green,,Evolutionary Ecology,18/10/2018,
0066-4812,2 years embargo,cannot,yellow,,Antipode,24/11/2017,
1467-8330,2 years embargo,cannot,yellow,,Antipode,24/11/2017,
0814-5857,18 months embargo,cannot,green,,Musicology Australia,26/03/2014,
1949-453X,18 months embargo,cannot,green,,Musicology Australia,26/03/2014,
0178-2789,12 months embargo,cannot,green,,The Visual Computer,16/05/2014,
1432-2315,12 months embargo,cannot,green,,The Visual Computer,16/05/2014,
0952-3367,18 months embargo,cannot,green,,The International Journal of the History of Sport,26/03/2014,
1743-9035,18 months embargo,cannot,green,,The International Journal of the History of Sport,26/03/2014,
2162-2337,can,cannot,green,,IEEE Wireless Communications Letters,7/06/2019,
2162-2345,can,cannot,green,,IEEE Wireless Communications Letters,7/06/2019,
1948-7193,12 months embargo,cannot,white,,ACS Chemical Neuroscience,19/09/2016,
0306-3968,can,cannot,green,,Race & Class,21/08/2019,
1741-3125,can,cannot,green,,Race & Class,21/08/2019,
0039-3223,can,unknown,green,,Studia Mathematica,20/04/2016,
1730-6337,can,unknown,green,,Studia Mathematica,20/04/2016,
0257-6430,can,cannot,green,,Studies in History,21/08/2019,
0973-080X,can,cannot,green,,Studies in History,21/08/2019,
1752-458X,12 months embargo,cannot,yellow,,Insect Conservation and Diversity,24/11/2017,
1752-4598,12 months embargo,cannot,yellow,,Insect Conservation and Diversity,24/11/2017,
1913-4967,can,can,green,CC-BY,Mathematics-in-Industry Case Studies,7/09/2018,
0261-4189,6 months embargo,cannot,yellow,,The EMBO Journal,14/04/2014,
1460-2075,6 months embargo,cannot,yellow,,The EMBO Journal,14/04/2014,
0895-4798,can,can,green,,SIAM Journal on Matrix Analysis and Applications,12/07/2018,
1095-7162,can,can,green,,SIAM Journal on Matrix Analysis and Applications,12/07/2018,
1931-1516,can,cannot,green,,Emotion,2/10/2017,
1528-3542,can,cannot,green,,Emotion,2/10/2017,
0142-0615,12 months embargo,cannot,green,CC-BY-NC-ND,International Journal of Electrical Power & Energy Systems,1/05/2015,
0341-8162,12 months embargo,cannot,green,CC-BY-NC-ND,CATENA,1/05/2015,
0142-5692,18 months embargo,cannot,green,,British Journal of Sociology of Education,26/03/2014,
1465-3346,18 months embargo,cannot,green,,British Journal of Sociology of Education,26/03/2014,
0031-8094,can,cannot,green,,The Philosophical Quarterly,8/02/2017,
1467-9213,can,cannot,green,,The Philosophical Quarterly,8/02/2017,
2372-0018,can,cannot,green,,IEEE Transactions on Cloud Computing,7/06/2019,
2399-9101,can,can,green,CC-BY,Journal of the European Second Language Association,14/02/2017,
0167-6997,12 months embargo,cannot,green,,Investigational New Drugs,16/05/2014,
1573-0646,12 months embargo,cannot,green,,Investigational New Drugs,16/05/2014,
0016-6928,12 months embargo,cannot,green,,Genre,8/04/2015,
2160-0228,12 months embargo,cannot,green,,Genre,8/04/2015,
2218-1997,can,can,green,CC-BY,Universe,14/12/2016,
0843-8714,can,cannot,green,,International Journal of Maritime History,21/08/2019,
2052-7756,can,cannot,green,,International Journal of Maritime History,21/08/2019,
0740-8188,12 months embargo,cannot,green,CC-BY-NC-ND,Library & Information Science Research,1/05/2015,
0927-5371,12 months embargo,cannot,green,CC-BY-NC-ND,Labour Economics,1/05/2015,
0160-0176,can,cannot,green,,International Regional Science Review,21/08/2019,
1552-6925,can,cannot,green,,International Regional Science Review,21/08/2019,
1444-2213,18 months embargo,cannot,green,,The Asia Pacific Journal of Anthropology,26/03/2014,
1740-9314,18 months embargo,cannot,green,,The Asia Pacific Journal of Anthropology,26/03/2014,
1387-3326,12 months embargo,cannot,green,,Information Systems Frontiers,16/05/2014,
1572-9419,12 months embargo,cannot,green,,Information Systems Frontiers,16/05/2014,
0816-4649,18 months embargo,cannot,green,,Australian Feminist Studies,26/03/2014,
1465-3303,18 months embargo,cannot,green,,Australian Feminist Studies,26/03/2014,
1524-8380,can,cannot,green,,"Trauma, Violence, & Abuse",21/08/2019,
1552-8324,can,cannot,green,,"Trauma, Violence, & Abuse",21/08/2019,
1557-1939,12 months embargo,cannot,green,,Journal of Superconductivity and Novel Magnetism,16/05/2014,
1557-1947,12 months embargo,cannot,green,,Journal of Superconductivity and Novel Magnetism,16/05/2014,
0022-0094,can,cannot,green,,Journal of Contemporary History,21/08/2019,
1461-7250,can,cannot,green,,Journal of Contemporary History,21/08/2019,
1028-6632,18 months embargo,cannot,green,,International Journal of Cultural Policy,26/03/2014,
1477-2833,18 months embargo,cannot,green,,International Journal of Cultural Policy,26/03/2014,
1534-8458,18 months embargo,cannot,green,,"Journal of Language, Identity & Education",26/03/2014,
1532-7701,18 months embargo,cannot,green,,"Journal of Language, Identity & Education",26/03/2014,
0802-6106,2 years embargo,cannot,yellow,,International Journal of Applied Linguistics,24/11/2017,
1473-4192,2 years embargo,cannot,yellow,,International Journal of Applied Linguistics,24/11/2017,
0016-8831,2 years embargo,cannot,yellow,,The German Quarterly,24/11/2017,
1756-1183,2 years embargo,cannot,yellow,,The German Quarterly,24/11/2017,
0034-0553,6 months embargo,cannot,white,,Reading Research Quarterly,22/12/2014,
1936-2722,6 months embargo,cannot,white,,Reading Research Quarterly,22/12/2014,
0961-2025,18 months embargo,cannot,green,,Women's History Review,26/03/2014,
1747-583X,18 months embargo,cannot,green,,Women's History Review,26/03/2014,
2201-473X,18 months embargo,cannot,green,,Settler Colonial Studies,26/03/2014,
1838-0743,18 months embargo,cannot,green,,Settler Colonial Studies,26/03/2014,
1785-8860,,,,,Acta Polytechnica Hungarica,,
1017-0405,12 months embargo,Special conditions apply,blue,,Statistica Sinica,24/05/2010,
1133-0686,12 months embargo,cannot,green,,TEST,16/05/2014,
1863-8260,12 months embargo,cannot,green,,TEST,16/05/2014,
1053-0770,12 months embargo,cannot,green,CC-BY-NC-ND,Journal of Cardiothoracic and Vascular Anesthesia,1/07/2016,
2164-8034,12 months embargo,cannot,yellow,,Information & Culture: A Journal of History,17/08/2017,
2166-3033,12 months embargo,cannot,yellow,,Information & Culture: A Journal of History,17/08/2017,
0362-3319,12 months embargo,cannot,green,CC-BY-NC-ND,The Social Science Journal,1/05/2015,
1873-5355,12 months embargo,cannot,green,CC-BY-NC-ND,The Social Science Journal,1/05/2015,
1089-778X,can,cannot,green,,IEEE Transactions on Evolutionary Computation,7/06/2019,
2334-4415,can,can,green,CC-BY-NC,Studies in 20th & 21st Century Literature,25/03/2015,
2511-1280,,,,,Economics of Disasters and Climate Change,,
2511-1299,,,,,Economics of Disasters and Climate Change,,
1092-4604,2 years embargo,cannot,yellow,,Knowledge and Process Management,24/11/2017,
1099-1441,2 years embargo,cannot,yellow,,Knowledge and Process Management,24/11/2017,
2397-4648,can,can,green,CC-BY,npj Quantum Materials,9/11/2018,
0025-1909,can,cannot,green,,Management Science,19/07/2017,
1526-5501,can,cannot,green,,Management Science,19/07/2017,
1748-8958,can,cannot,green,,Criminology & Criminal Justice,21/08/2019,
1748-8966,can,cannot,green,,Criminology & Criminal Justice,21/08/2019,
0818-9641,12 months embargo,cannot,yellow,,Immunology & Cell Biology,24/11/2017,
1440-1711,12 months embargo,cannot,yellow,,Immunology & Cell Biology,24/11/2017,
0276-7783,cannot,5 years embargo,yellow,,MIS Quarterly,28/07/2016,
2162-9730,cannot,5 years embargo,yellow,,MIS Quarterly,28/07/2016,
0885-2014,24 months embargo,cannot,green,CC-BY-NC-ND,Cognitive Development,9/01/2017,
1206-212X,Permission must be obtained from the publisher,unknown,white,,International Journal of Computers and Applications,20/11/2008,
1925-7074,Permission must be obtained from the publisher,unknown,white,,International Journal of Computers and Applications,20/11/2008,
1754-5692,12 months embargo,cannot,yellow,,Energy & Environmental Science,1/04/2019,
1754-5706,12 months embargo,cannot,yellow,,Energy & Environmental Science,1/04/2019,
1555-5879,12 months embargo,Special conditions apply,yellow,,Review of Law & Economics,1/04/2014,
0927-5940,12 months embargo,cannot,green,,International Tax and Public Finance,16/05/2014,
1573-6970,12 months embargo,cannot,green,,International Tax and Public Finance,16/05/2014,
2224-7890,unknown,unknown,gray,,South African Journal of Industrial Engineering,16/05/2019,
2413-3051,unknown,unknown,gray,,Journal of Energy in Southern Africa,16/05/2019,
1021-447X,unknown,unknown,gray,,Journal of Energy in Southern Africa,16/05/2019,
0891-2416,can,cannot,green,,Journal of Contemporary Ethnography,21/08/2019,
1552-5414,can,cannot,green,,Journal of Contemporary Ethnography,21/08/2019,
2059-8521,12 months embargo,cannot,green,CC-BY-NC-ND,MRS Advances,10/05/2016,
2183-2439,can,can,green,CC-BY,Media and Communication,15/08/2014,
2214-2304,12 months embargo,cannot,yellow,,Asiascape: Digital Asia,11/07/2019,
2214-2312,12 months embargo,cannot,yellow,,Asiascape: Digital Asia,11/07/2019,
1561-4263,18 months embargo,cannot,green,,Police Practice and Research,26/03/2014,
1477-271X,18 months embargo,cannot,green,,Police Practice and Research,26/03/2014,
0025-1003,can,cannot,green,CC-BY-NC-ND,Journal of the International Phonetic Association,7/10/2014,
1475-3502,can,cannot,green,CC-BY-NC-ND,Journal of the International Phonetic Association,7/10/2014,
0013-0133,can,cannot,green,,The Economic Journal,2/02/2018,
1468-0297,can,cannot,green,,The Economic Journal,2/02/2018,
1931-8499,,,,,ACM SIGEVOlution,,
0148-9267,6 months embargo,6 months embargo,green,,Computer Music Journal,12/02/2018,
1531-5169,6 months embargo,6 months embargo,green,,Computer Music Journal,12/02/2018,
2332-2551,18 months embargo,cannot,green,,Theatre and Performance Design,26/03/2014,
2332-2578,18 months embargo,cannot,green,,Theatre and Performance Design,26/03/2014,
1874-785X,12 months embargo,cannot,green,,Vocations and Learning,16/05/2014,
1874-7868,12 months embargo,cannot,green,,Vocations and Learning,16/05/2014,
2576-4497,,,,,Hospice and Palliative Medicine International Journal,,
0745-5194,can,cannot,green,,Medical Anthropology Quarterly,9/07/2014,
1548-1387,can,cannot,green,,Medical Anthropology Quarterly,9/07/2014,
2011-3188,unknown,unknown,gray,,Dearq Revista de Arquitectura / Journal of Architecture,16/05/2019,
2215-969X,unknown,unknown,gray,,Dearq Revista de Arquitectura / Journal of Architecture,16/05/2019,
1976-1961,,,,,Pacific Early Childhood Education Research Association,,
1755-4330,6 months embargo,cannot,yellow,,Nature Chemistry,20/09/2018,
1755-4349,6 months embargo,cannot,yellow,,Nature Chemistry,20/09/2018,
0084-6597,cannot,cannot,yellow,,Annual Review of Earth and Planetary Sciences,22/09/2017,
1545-4495,cannot,cannot,yellow,,Annual Review of Earth and Planetary Sciences,22/09/2017,
1751-1577,12 months embargo,cannot,green,CC-BY-NC-ND,Journal of Informetrics,1/05/2015,
2214-7829,12 months embargo,cannot,green,CC-BY-NC-ND,Internet Interventions,1/05/2015,
0889-7077,12 months embargo,cannot,green,,Substance Abuse,26/03/2014,
1547-0164,12 months embargo,cannot,green,,Substance Abuse,26/03/2014,
1084-5453,2 years embargo,cannot,green,,Environmental History,13/01/2017,
1930-8892,2 years embargo,cannot,green,,Environmental History,13/01/2017,
2380-0127,18 months embargo,cannot,green,,Applied Mobilities,26/03/2014,
2380-0135,18 months embargo,cannot,green,,Applied Mobilities,26/03/2014,
2329-7018,,,,,Research and Practice in Intellectual and Developmental Disabilities,,
2329-7026,,,,,Research and Practice in Intellectual and Developmental Disabilities,,
0022-4812,can,can,green,,The Journal of Symbolic Logic,6/06/2014,
1943-5886,can,can,green,,The Journal of Symbolic Logic,6/06/2014,
0168-0072,12 months embargo,cannot,green,CC-BY-NC-ND,Annals of Pure and Applied Logic,24/06/2015,
1606-6359,12 months embargo,cannot,green,,Addiction Research & Theory,26/03/2014,
1476-7392,12 months embargo,cannot,green,,Addiction Research & Theory,26/03/2014,
1355-8196,can,cannot,green,,Journal of Health Services Research & Policy,21/08/2019,
1758-1060,can,cannot,green,,Journal of Health Services Research & Policy,21/08/2019,
0040-6376,12 months embargo,cannot,green,CC-BY-NC,Thorax,8/11/2018,
1468-3296,12 months embargo,cannot,green,CC-BY-NC,Thorax,8/11/2018,
0364-9024,12 months embargo,cannot,yellow,,Journal of Graph Theory,24/11/2017,
1097-0118,12 months embargo,cannot,yellow,,Journal of Graph Theory,24/11/2017,
0265-0517,can,cannot,green,CC-BY-NC-ND,British Journal of Music Education,7/10/2014,
1469-2104,can,cannot,green,CC-BY-NC-ND,British Journal of Music Education,7/10/2014,
1052-5173,can,can,green,CC-BY-NC,GSA Today,14/02/2019,
1943-2690,can,can,green,CC-BY-NC,GSA Today,14/02/2019,
0933-5846,12 months embargo,cannot,green,,Archive for Mathematical Logic,18/10/2018,
1432-0665,12 months embargo,cannot,green,,Archive for Mathematical Logic,18/10/2018,
2162-402X,12 months embargo,cannot,green,,OncoImmunology,26/03/2014,
0141-9838,12 months embargo,cannot,yellow,,Parasite Immunology,24/11/2017,
1365-3024,12 months embargo,cannot,yellow,,Parasite Immunology,24/11/2017,
0952-3480,12 months embargo,cannot,yellow,,NMR in Biomedicine,24/11/2017,
1099-1492,12 months embargo,cannot,yellow,,NMR in Biomedicine,24/11/2017,
2218-1989,can,can,green,CC-BY,Metabolites,14/12/2016,
1424-8247,can,can,green,CC-BY,Pharmaceuticals,14/12/2016,
2324-9269,can,can,green,CC-BY,Molecular Genetics & Genomic Medicine,27/10/2016,
1933-0219,6 months embargo,cannot,yellow,,Mucosal Immunology,20/09/2018,
1935-3456,6 months embargo,cannot,yellow,,Mucosal Immunology,20/09/2018,
0892-9912,12 months embargo,cannot,green,,The Journal of Technology Transfer,16/05/2014,
1573-7047,12 months embargo,cannot,green,,The Journal of Technology Transfer,16/05/2014,
1749-8198,2 years embargo,cannot,yellow,,Geography Compass,24/11/2017,
1038-4162,can,cannot,green,,Australian Journal of Career Development,21/08/2019,
2200-6974,can,cannot,green,,Australian Journal of Career Development,21/08/2019,
0006-3568,12 months embargo,cannot,green,CC-BY,BioScience,30/05/2017,
1525-3244,12 months embargo,cannot,green,CC-BY,BioScience,30/05/2017,
1866-3516,can,can,green,CC-BY,Earth System Science Data,27/06/2014,
1367-0069,can,cannot,green,,International Journal of Bilingualism,21/08/2019,
1756-6878,can,cannot,green,,International Journal of Bilingualism,21/08/2019,
1752-0894,6 months embargo,cannot,yellow,,Nature Geoscience,20/09/2018,
1752-0908,6 months embargo,cannot,yellow,,Nature Geoscience,20/09/2018,
1350-5084,can,cannot,green,,Organization,21/08/2019,
1461-7323,can,cannot,green,,Organization,21/08/2019,
1569-2159,can,cannot,green,,Journal of Language and Politics,22/02/2016,
1569-9862,can,cannot,green,,Journal of Language and Politics,22/02/2016,
1074-7613,12 months embargo,cannot,yellow,CC-BY-NC-ND,Immunity,31/01/2018,
0007-6813,36 months embargo,cannot,green,CC-BY-NC-ND,Business Horizons,10/01/2017,
1744-5760,12 months embargo,cannot,green,,"International Journal of Parallel, Emergent and Distributed Systems",26/03/2014,
1744-5779,12 months embargo,cannot,green,,"International Journal of Parallel, Emergent and Distributed Systems",26/03/2014,
1018-5895,12 months embargo,cannot,yellow,,The Geneva Papers on Risk and Insurance - Issues and Practice,3/09/2018,
1468-0440,12 months embargo,cannot,yellow,,The Geneva Papers on Risk and Insurance - Issues and Practice,3/09/2018,
0925-4994,12 months embargo,cannot,green,,"Crime, Law and Social Change",18/10/2018,
1573-0751,12 months embargo,cannot,green,,"Crime, Law and Social Change",18/10/2018,
2050-4837,12 months embargo,cannot,yellow,,Studies in Spanish & Latin-American Cinemas,11/02/2016,
2050-4845,12 months embargo,cannot,yellow,,Studies in Spanish & Latin-American Cinemas,11/02/2016,
2046-9861,12 months embargo,cannot,yellow,,The Journal of Popular Television,11/02/2016,
2046-987X,12 months embargo,cannot,yellow,,The Journal of Popular Television,11/02/2016,
0970-7794,,,,,Journal of Indian Council of Philosophical Research,,
2363-9962,,,,,Journal of Indian Council of Philosophical Research,,
2201-7275,can,can,green,CC-BY,QUT Law Review,9/07/2015,
2205-0507,can,can,green,CC-BY,QUT Law Review,9/07/2015,
0305-8719,12 months embargo,cannot,yellow,,"Geological Society, London, Special Publications",11/08/2015,
2041-4927,12 months embargo,cannot,yellow,,"Geological Society, London, Special Publications",11/08/2015,
0048-8003,No information,No information,No information,,Revue d'histoire moderne et contemporaine,,
1776-3045,No information,No information,No information,,Revue d'histoire moderne et contemporaine,,
2056-9017,,,,,CALICO Journal,,
1109-4028,,,,,Chemistry Education Research and Practice,,
1756-1108,12 months embargo,cannot,yellow,,Chemistry Education Research and Practice,1/04/2019,
2073-8994,can,can,green,CC-BY,Symmetry,14/12/2016,
2057-2107,can,can,green,CC-BY,Neuroscience of Consciousness,3/10/2018,
2325-6095,,,,,IEEE Cloud Computing,,
0141-5492,12 months embargo,cannot,green,,Biotechnology Letters,18/10/2018,
1573-6776,12 months embargo,cannot,green,,Biotechnology Letters,18/10/2018,
